"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:22:25","0%","0%","0%","3.40%","4.20%","3.90%","7.70%","344 MiB","1.75 GB/s","0 kB/s","58.8 kB/s","1.14 GB/s","0 kB/s","1.76 GB/s","1680409345000"
"2023-04-02 11:22:30","0%","0%","0%","3.40%","4.20%","3.90%","7.70%","344 MiB","1.75 GB/s","0 kB/s","58.8 kB/s","1.14 GB/s","0 kB/s","1.76 GB/s","1680409350000"
"2023-04-02 11:22:35","0%","0%","0%","2.50%","3.10%","3.70%","9.10%","340 MiB","2.44 GB/s","0 kB/s","22.4 kB/s","1.52 GB/s","0 kB/s","2.45 GB/s","1680409355000"
"2023-04-02 11:22:40","0%","0%","0%","2.50%","3.10%","3.70%","9.10%","340 MiB","2.44 GB/s","0 kB/s","22.4 kB/s","1.52 GB/s","0 kB/s","2.45 GB/s","1680409360000"
"2023-04-02 11:22:45","0%","0%","0%","1.60%","1.40%","2.00%","7.20%","340 MiB","2.05 GB/s","0 kB/s","0 kB/s","1.29 GB/s","0 kB/s","2.06 GB/s","1680409365000"
"2023-04-02 11:22:50","0%","0%","0%","1.60%","1.40%","2.00%","7.20%","340 MiB","2.05 GB/s","0 kB/s","0 kB/s","1.29 GB/s","0 kB/s","2.06 GB/s","1680409370000"
"2023-04-02 11:22:55","0%","0%","0%","1.40%","1.50%","1.50%","6.20%","344 MiB","1.65 GB/s","0 kB/s","0 kB/s","1.02 GB/s","0 kB/s","1.65 GB/s","1680409375000"
"2023-04-02 11:23:00","0%","0%","0%","1.40%","1.50%","1.50%","6.20%","344 MiB","1.65 GB/s","0 kB/s","0 kB/s","1.02 GB/s","0 kB/s","1.65 GB/s","1680409380000"
"2023-04-02 11:23:05","0%","0%","0%","1.10%","1.10%","1.20%","5.60%","344 MiB","1.42 GB/s","0 kB/s","17.2 kB/s","1.23 GB/s","0 kB/s","1.42 GB/s","1680409385000"
"2023-04-02 11:23:10","0%","0%","0%","1.10%","1.10%","1.20%","5.60%","344 MiB","1.42 GB/s","0 kB/s","17.2 kB/s","1.23 GB/s","0 kB/s","1.42 GB/s","1680409390000"
"2023-04-02 11:23:15","0%","0%","0%","2.30%","1.50%","2.00%","10%","344 MiB","3.48 GB/s","0 kB/s","11.6 kB/s","1.81 GB/s","0 kB/s","3.48 GB/s","1680409395000"
"2023-04-02 11:23:20","0%","0%","0%","2.30%","1.50%","2.00%","10%","344 MiB","3.48 GB/s","0 kB/s","11.6 kB/s","1.81 GB/s","0 kB/s","3.48 GB/s","1680409400000"
"2023-04-02 11:23:25","0%","0%","0%","2.90%","3.30%","3.50%","7.80%","344 MiB","2.05 GB/s","0 kB/s","5.80 kB/s","1.31 GB/s","0 kB/s","2.06 GB/s","1680409405000"
"2023-04-02 11:23:30","0%","0%","0%","2.90%","3.30%","3.50%","7.80%","344 MiB","2.05 GB/s","0 kB/s","5.80 kB/s","1.31 GB/s","0 kB/s","2.06 GB/s","1680409410000"
"2023-04-02 11:23:35","0%","0%","0%","2.80%","3.50%","2.90%","9.60%","344 MiB","2.66 GB/s","0 kB/s","11.2 kB/s","1.68 GB/s","0 kB/s","2.67 GB/s","1680409415000"
"2023-04-02 11:23:40","0%","0%","0%","2.80%","3.50%","2.90%","9.60%","344 MiB","2.66 GB/s","0 kB/s","11.2 kB/s","1.68 GB/s","0 kB/s","2.67 GB/s","1680409420000"
