"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-02 12:08:20,628 MB/s,0 kB/s,56.5 kB/s,414 MB/s,0 kB/s,631 MB/s,414 MB/s,0 kB/s,289 kB/s,632 MB/s,0 kB/s,414 MB/s
2023-04-02 12:08:30,1.47 GB/s,0 kB/s,0 kB/s,899 MB/s,0 kB/s,1.47 GB/s,899 MB/s,0 kB/s,0 kB/s,1.47 GB/s,0 kB/s,899 MB/s
2023-04-02 12:08:40,502 MB/s,0 kB/s,5.60 kB/s,307 MB/s,0 kB/s,502 MB/s,307 MB/s,0 kB/s,5.40 kB/s,503 MB/s,0 kB/s,307 MB/s
2023-04-02 12:08:50,990 MB/s,0 kB/s,5.60 kB/s,607 MB/s,0 kB/s,990 MB/s,607 MB/s,0 kB/s,5.40 kB/s,991 MB/s,0 kB/s,607 MB/s
2023-04-02 12:09:00,582 MB/s,0 kB/s,5.60 kB/s,381 MB/s,0 kB/s,585 MB/s,381 MB/s,0 kB/s,5.40 kB/s,586 MB/s,0 kB/s,381 MB/s
2023-04-02 12:09:10,567 MB/s,0 kB/s,22.8 kB/s,372 MB/s,0 kB/s,570 MB/s,372 MB/s,0 kB/s,15 kB/s,571 MB/s,0 kB/s,372 MB/s
2023-04-02 12:09:20,3.07 GB/s,0 kB/s,5.60 kB/s,2.24 GB/s,0 kB/s,3.08 GB/s,2.24 GB/s,0 kB/s,5.40 kB/s,3.08 GB/s,0 kB/s,2.24 GB/s
2023-04-02 12:09:30,6.28 GB/s,0 kB/s,11.2 kB/s,3.64 GB/s,0 kB/s,6.30 GB/s,3.64 GB/s,0 kB/s,5.40 kB/s,6.30 GB/s,0 kB/s,3.64 GB/s
2023-04-02 12:09:40,2.46 GB/s,0 kB/s,11.2 kB/s,1.67 GB/s,0 kB/s,2.48 GB/s,1.67 GB/s,0 kB/s,5.40 kB/s,2.48 GB/s,0 kB/s,1.67 GB/s
2023-04-02 12:09:50,6.56 GB/s,0 kB/s,0 kB/s,4.40 GB/s,0 kB/s,6.58 GB/s,4.40 GB/s,0 kB/s,0 kB/s,6.58 GB/s,0 kB/s,4.40 GB/s
2023-04-02 12:10:00,3.72 GB/s,0 kB/s,0 kB/s,2.49 GB/s,0 kB/s,3.73 GB/s,2.49 GB/s,0 kB/s,0 kB/s,3.73 GB/s,0 kB/s,2.49 GB/s
2023-04-02 12:10:10,2.96 GB/s,0 kB/s,19.8 kB/s,1.60 GB/s,0 kB/s,2.98 GB/s,1.60 GB/s,0 kB/s,5.40 kB/s,2.98 GB/s,0 kB/s,1.60 GB/s
2023-04-02 12:10:20,5.91 GB/s,0 kB/s,62.5 kB/s,3.68 GB/s,0 kB/s,5.92 GB/s,3.68 GB/s,0 kB/s,303 kB/s,5.92 GB/s,0 kB/s,3.68 GB/s
2023-04-02 12:10:30,3.78 GB/s,0 kB/s,16.8 kB/s,2.43 GB/s,0 kB/s,3.80 GB/s,2.43 GB/s,0 kB/s,10.8 kB/s,3.80 GB/s,0 kB/s,2.43 GB/s
2023-04-02 12:10:40,5.35 GB/s,0 kB/s,0 kB/s,3.39 GB/s,0 kB/s,5.37 GB/s,3.39 GB/s,0 kB/s,0 kB/s,5.37 GB/s,0 kB/s,3.39 GB/s
2023-04-02 12:10:50,5.22 GB/s,0 kB/s,16.8 kB/s,3.26 GB/s,0 kB/s,5.24 GB/s,3.26 GB/s,0 kB/s,10.4 kB/s,5.24 GB/s,0 kB/s,3.26 GB/s
2023-04-02 12:11:00,4.20 GB/s,0 kB/s,11.2 kB/s,2.77 GB/s,0 kB/s,4.21 GB/s,2.77 GB/s,0 kB/s,5.40 kB/s,4.22 GB/s,0 kB/s,2.77 GB/s
2023-04-02 12:11:10,3.55 GB/s,0 kB/s,28.4 kB/s,2.30 GB/s,0 kB/s,3.57 GB/s,2.30 GB/s,0 kB/s,15 kB/s,3.57 GB/s,0 kB/s,2.30 GB/s
2023-04-02 12:11:20,4.40 GB/s,0 kB/s,0 kB/s,2.79 GB/s,0 kB/s,4.42 GB/s,2.79 GB/s,0 kB/s,0 kB/s,4.42 GB/s,0 kB/s,2.79 GB/s
2023-04-02 12:11:30,5.20 GB/s,0 kB/s,0 kB/s,3.34 GB/s,0 kB/s,5.22 GB/s,3.34 GB/s,0 kB/s,0 kB/s,5.22 GB/s,0 kB/s,3.34 GB/s
2023-04-02 12:11:40,1.47 GB/s,0 kB/s,46.2 kB/s,1.01 GB/s,0 kB/s,1.49 GB/s,1.01 GB/s,0 kB/s,49 kB/s,1.49 GB/s,0 kB/s,1.01 GB/s
2023-04-02 12:11:50,3.64 GB/s,0 kB/s,11.2 kB/s,2.32 GB/s,0 kB/s,3.65 GB/s,2.32 GB/s,0 kB/s,5.40 kB/s,3.66 GB/s,0 kB/s,2.32 GB/s
2023-04-02 12:12:00,2.33 GB/s,0 kB/s,0 kB/s,1.52 GB/s,0 kB/s,2.35 GB/s,1.52 GB/s,0 kB/s,0 kB/s,2.35 GB/s,0 kB/s,1.52 GB/s
2023-04-02 12:12:10,3.79 GB/s,0 kB/s,11.2 kB/s,2.42 GB/s,0 kB/s,3.80 GB/s,2.42 GB/s,0 kB/s,5.40 kB/s,3.80 GB/s,0 kB/s,2.42 GB/s
2023-04-02 12:12:20,3.75 GB/s,0 kB/s,84.9 kB/s,2.37 GB/s,0 kB/s,3.76 GB/s,2.37 GB/s,0 kB/s,310 kB/s,3.76 GB/s,0 kB/s,2.37 GB/s
2023-04-02 12:12:30,2.85 GB/s,0 kB/s,0 kB/s,1.92 GB/s,0 kB/s,2.86 GB/s,1.92 GB/s,0 kB/s,0 kB/s,2.86 GB/s,0 kB/s,1.92 GB/s
2023-04-02 12:12:40,4.82 GB/s,0 kB/s,0 kB/s,2.95 GB/s,0 kB/s,4.84 GB/s,2.95 GB/s,0 kB/s,0 kB/s,4.84 GB/s,0 kB/s,2.95 GB/s
2023-04-02 12:12:50,1.76 GB/s,0 kB/s,0 kB/s,1.43 GB/s,0 kB/s,1.77 GB/s,1.43 GB/s,0 kB/s,0 kB/s,1.77 GB/s,0 kB/s,1.43 GB/s
2023-04-02 12:13:00,1.92 GB/s,0 kB/s,11.2 kB/s,1.06 GB/s,0 kB/s,1.94 GB/s,1.06 GB/s,0 kB/s,5.40 kB/s,1.94 GB/s,0 kB/s,1.06 GB/s
2023-04-02 12:13:10,2.22 GB/s,0 kB/s,13.4 kB/s,1.44 GB/s,0 kB/s,2.23 GB/s,1.44 GB/s,0 kB/s,9.60 kB/s,2.23 GB/s,0 kB/s,1.44 GB/s
2023-04-02 12:13:20,3.00 GB/s,0 kB/s,11.2 kB/s,2.16 GB/s,0 kB/s,3.02 GB/s,2.16 GB/s,0 kB/s,5.40 kB/s,3.02 GB/s,0 kB/s,2.16 GB/s
2023-04-02 12:13:30,3.52 GB/s,0 kB/s,5.80 kB/s,2.31 GB/s,0 kB/s,3.53 GB/s,2.31 GB/s,0 kB/s,5.40 kB/s,3.53 GB/s,0 kB/s,2.31 GB/s
2023-04-02 12:13:40,3.24 GB/s,0 kB/s,0 kB/s,1.82 GB/s,0 kB/s,3.26 GB/s,1.82 GB/s,0 kB/s,0 kB/s,3.26 GB/s,0 kB/s,1.82 GB/s
2023-04-02 12:13:50,3.14 GB/s,0 kB/s,17.2 kB/s,1.99 GB/s,0 kB/s,3.15 GB/s,1.99 GB/s,0 kB/s,9.60 kB/s,3.15 GB/s,0 kB/s,1.99 GB/s
