sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 01:13:00,13.2 kB/s,0 kB/s,5.80 kB/s,61.5 kB/s,0 kB/s,17.4 kB/s
2023-02-08 01:13:15,8 kB/s,0 kB/s,0 kB/s,59.1 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:13:30,10.4 kB/s,0 kB/s,56 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:13:45,5.20 kB/s,0 kB/s,5.80 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:14:00,13.2 kB/s,0 kB/s,30 kB/s,61.5 kB/s,0 kB/s,17.4 kB/s
2023-02-08 01:14:15,5.20 kB/s,0 kB/s,28.6 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:14:30,10.4 kB/s,0 kB/s,17 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:14:45,8 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:15:00,13.2 kB/s,0 kB/s,0 kB/s,61.5 kB/s,0 kB/s,17.4 kB/s
2023-02-08 01:15:15,5.20 kB/s,0 kB/s,17.2 kB/s,59.1 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:15:30,10.4 kB/s,0 kB/s,11.2 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-02-08 01:15:45,5.20 kB/s,0 kB/s,23 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:16:00,16 kB/s,0 kB/s,0 kB/s,68.1 kB/s,0 kB/s,21.6 kB/s
2023-02-08 01:16:15,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:16:30,676 kB/s,0 kB/s,110 kB/s,567 kB/s,0 kB/s,697 kB/s
2023-02-08 01:16:45,622 kB/s,0 kB/s,69.1 kB/s,498 kB/s,0 kB/s,639 kB/s
2023-02-08 01:17:00,740 kB/s,0 kB/s,120 kB/s,596 kB/s,0 kB/s,763 kB/s
2023-02-08 01:17:15,681 kB/s,0 kB/s,110 kB/s,543 kB/s,0 kB/s,704 kB/s
2023-02-08 01:17:30,960 kB/s,0 kB/s,139 kB/s,757 kB/s,0 kB/s,988 kB/s
2023-02-08 01:17:45,345 kB/s,0 kB/s,58.1 kB/s,304 kB/s,0 kB/s,356 kB/s
2023-02-08 01:18:00,1.09 MB/s,0 kB/s,116 kB/s,859 kB/s,0 kB/s,1.12 MB/s
2023-02-08 01:18:15,624 kB/s,0 kB/s,110 kB/s,510 kB/s,0 kB/s,646 kB/s
2023-02-08 01:18:30,738 kB/s,0 kB/s,116 kB/s,593 kB/s,23 kB/s,762 kB/s
2023-02-08 01:18:45,608 kB/s,0 kB/s,99 kB/s,507 kB/s,0 kB/s,629 kB/s
2023-02-08 01:19:00,762 kB/s,0 kB/s,129 kB/s,601 kB/s,0 kB/s,786 kB/s
2023-02-08 01:19:15,702 kB/s,0 kB/s,116 kB/s,555 kB/s,0 kB/s,724 kB/s
2023-02-08 01:19:30,1.01 MB/s,0 kB/s,110 kB/s,791 kB/s,0 kB/s,1.03 MB/s
2023-02-08 01:19:45,517 kB/s,0 kB/s,127 kB/s,422 kB/s,0 kB/s,538 kB/s
2023-02-08 01:20:00,858 kB/s,0 kB/s,127 kB/s,684 kB/s,0 kB/s,882 kB/s
2023-02-08 01:20:15,1.03 MB/s,0 kB/s,127 kB/s,808 kB/s,0 kB/s,1.06 MB/s
2023-02-08 01:20:30,342 kB/s,0 kB/s,111 kB/s,296 kB/s,0 kB/s,364 kB/s
2023-02-08 01:20:45,993 kB/s,0 kB/s,110 kB/s,779 kB/s,0 kB/s,1.02 MB/s
2023-02-08 01:21:00,806 kB/s,0 kB/s,76.6 kB/s,639 kB/s,0 kB/s,825 kB/s
2023-02-08 01:21:15,528 kB/s,0 kB/s,116 kB/s,427 kB/s,0 kB/s,552 kB/s
2023-02-08 01:21:30,580 kB/s,0 kB/s,155 kB/s,469 kB/s,0 kB/s,602 kB/s
2023-02-08 01:21:45,804 kB/s,0 kB/s,105 kB/s,625 kB/s,0 kB/s,828 kB/s
2023-02-08 01:22:00,594 kB/s,0 kB/s,71 kB/s,484 kB/s,0 kB/s,609 kB/s
2023-02-08 01:22:15,586 kB/s,0 kB/s,150 kB/s,476 kB/s,0 kB/s,605 kB/s
2023-02-08 01:22:30,894 kB/s,0 kB/s,116 kB/s,708 kB/s,0 kB/s,919 kB/s
2023-02-08 01:22:45,570 kB/s,0 kB/s,105 kB/s,458 kB/s,0 kB/s,591 kB/s
2023-02-08 01:23:00,290 kB/s,0 kB/s,93.4 kB/s,265 kB/s,0 kB/s,308 kB/s
2023-02-08 01:23:15,277 kB/s,0 kB/s,80.3 kB/s,226 kB/s,0 kB/s,292 kB/s
2023-02-08 01:23:30,666 kB/s,0 kB/s,105 kB/s,532 kB/s,0 kB/s,691 kB/s
2023-02-08 01:23:45,533 kB/s,0 kB/s,116 kB/s,431 kB/s,0 kB/s,554 kB/s
2023-02-08 01:24:00,845 kB/s,0 kB/s,122 kB/s,671 kB/s,0 kB/s,869 kB/s
2023-02-08 01:24:15,189 kB/s,0 kB/s,63.4 kB/s,184 kB/s,0 kB/s,199 kB/s
2023-02-08 01:24:30,759 kB/s,0 kB/s,98.9 kB/s,606 kB/s,0 kB/s,786 kB/s
2023-02-08 01:24:45,633 kB/s,0 kB/s,105 kB/s,518 kB/s,0 kB/s,652 kB/s
2023-02-08 01:25:00,1.08 MB/s,0 kB/s,105 kB/s,848 kB/s,0 kB/s,1.11 MB/s
2023-02-08 01:25:15,497 kB/s,0 kB/s,105 kB/s,425 kB/s,0 kB/s,514 kB/s
2023-02-08 01:25:30,1.03 MB/s,0 kB/s,116 kB/s,815 kB/s,0 kB/s,1.06 MB/s
2023-02-08 01:25:45,411 kB/s,0 kB/s,121 kB/s,332 kB/s,0 kB/s,434 kB/s
2023-02-08 01:26:00,738 kB/s,0 kB/s,98.8 kB/s,590 kB/s,0 kB/s,763 kB/s
2023-02-08 01:26:15,1.07 MB/s,0 kB/s,116 kB/s,847 kB/s,0 kB/s,1.10 MB/s
2023-02-08 01:26:30,795 kB/s,0 kB/s,99.1 kB/s,636 kB/s,0 kB/s,820 kB/s
2023-02-08 01:26:45,968 kB/s,0 kB/s,110 kB/s,760 kB/s,0 kB/s,992 kB/s
2023-02-08 01:27:00,977 kB/s,0 kB/s,158 kB/s,766 kB/s,0 kB/s,1.00 MB/s
2023-02-08 01:27:15,683 kB/s,0 kB/s,116 kB/s,544 kB/s,0 kB/s,706 kB/s
2023-02-08 01:27:30,805 kB/s,0 kB/s,85.9 kB/s,634 kB/s,0 kB/s,823 kB/s
2023-02-08 01:27:45,877 kB/s,0 kB/s,134 kB/s,690 kB/s,0 kB/s,899 kB/s
2023-02-08 01:28:00,520 kB/s,0 kB/s,127 kB/s,422 kB/s,0 kB/s,543 kB/s
2023-02-08 01:28:15,832 kB/s,0 kB/s,123 kB/s,659 kB/s,0 kB/s,856 kB/s
2023-02-08 01:28:30,345 kB/s,0 kB/s,58 kB/s,296 kB/s,0 kB/s,359 kB/s
2023-02-08 01:28:45,1.10 MB/s,0 kB/s,127 kB/s,872 kB/s,0 kB/s,1.13 MB/s
2023-02-08 01:29:00,720 kB/s,0 kB/s,144 kB/s,573 kB/s,0 kB/s,743 kB/s
2023-02-08 01:29:15,748 kB/s,0 kB/s,134 kB/s,578 kB/s,0 kB/s,772 kB/s
2023-02-08 01:29:30,657 kB/s,0 kB/s,99.1 kB/s,548 kB/s,0 kB/s,678 kB/s
2023-02-08 01:29:45,837 kB/s,0 kB/s,103 kB/s,660 kB/s,0 kB/s,854 kB/s
2023-02-08 01:30:00,745 kB/s,0 kB/s,110 kB/s,601 kB/s,0 kB/s,772 kB/s
2023-02-08 01:30:15,461 kB/s,0 kB/s,105 kB/s,372 kB/s,0 kB/s,482 kB/s
2023-02-08 01:30:30,835 kB/s,0 kB/s,110 kB/s,661 kB/s,0 kB/s,859 kB/s
2023-02-08 01:30:45,327 kB/s,0 kB/s,99.2 kB/s,273 kB/s,0 kB/s,348 kB/s
2023-02-08 01:31:00,797 kB/s,0 kB/s,105 kB/s,638 kB/s,0 kB/s,819 kB/s
2023-02-08 01:31:15,472 kB/s,0 kB/s,105 kB/s,382 kB/s,0 kB/s,493 kB/s
2023-02-08 01:31:30,859 kB/s,0 kB/s,267 kB/s,557 kB/s,0 kB/s,898 kB/s
2023-02-08 01:31:45,624 kB/s,0 kB/s,127 kB/s,495 kB/s,0 kB/s,647 kB/s
2023-02-08 01:32:00,891 kB/s,0 kB/s,105 kB/s,702 kB/s,0 kB/s,916 kB/s
2023-02-08 01:32:15,569 kB/s,0 kB/s,116 kB/s,452 kB/s,0 kB/s,591 kB/s
2023-02-08 01:32:30,621 kB/s,0 kB/s,116 kB/s,500 kB/s,0 kB/s,644 kB/s
2023-02-08 01:32:45,811 kB/s,0 kB/s,105 kB/s,640 kB/s,0 kB/s,838 kB/s
2023-02-08 01:33:00,935 kB/s,0 kB/s,112 kB/s,741 kB/s,0 kB/s,960 kB/s
2023-02-08 01:33:15,193 kB/s,0 kB/s,88.9 kB/s,184 kB/s,0 kB/s,210 kB/s
2023-02-08 01:33:30,367 kB/s,0 kB/s,99.2 kB/s,304 kB/s,0 kB/s,390 kB/s
2023-02-08 01:33:45,536 kB/s,0 kB/s,110 kB/s,431 kB/s,0 kB/s,559 kB/s
2023-02-08 01:34:00,937 kB/s,0 kB/s,105 kB/s,739 kB/s,0 kB/s,961 kB/s
2023-02-08 01:34:15,1.04 MB/s,0 kB/s,105 kB/s,820 kB/s,0 kB/s,1.07 MB/s
2023-02-08 01:34:30,896 kB/s,0 kB/s,105 kB/s,708 kB/s,0 kB/s,921 kB/s
2023-02-08 01:34:45,568 kB/s,0 kB/s,118 kB/s,458 kB/s,0 kB/s,591 kB/s
2023-02-08 01:35:00,138 kB/s,0 kB/s,46.7 kB/s,144 kB/s,0 kB/s,148 kB/s
2023-02-08 01:35:15,801 kB/s,0 kB/s,122 kB/s,631 kB/s,0 kB/s,827 kB/s
2023-02-08 01:35:30,524 kB/s,0 kB/s,133 kB/s,430 kB/s,0 kB/s,543 kB/s
2023-02-08 01:35:45,730 kB/s,0 kB/s,132 kB/s,575 kB/s,0 kB/s,756 kB/s
