"Time","Used","Buffer","Cached","Free"
2023-04-16 01:36:40,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:36:50,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:37:00,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:37:10,380 MiB,31.2 MiB,405 MiB,153 MiB
2023-04-16 01:37:20,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:37:30,380 MiB,31.2 MiB,405 MiB,153 MiB
2023-04-16 01:37:40,380 MiB,31.2 MiB,405 MiB,153 MiB
2023-04-16 01:37:50,382 MiB,31.2 MiB,405 MiB,151 MiB
2023-04-16 01:38:00,382 MiB,31.2 MiB,405 MiB,151 MiB
2023-04-16 01:38:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:38:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:38:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:38:40,374 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:38:50,381 MiB,31.2 MiB,405 MiB,152 MiB
2023-04-16 01:39:00,375 MiB,31.2 MiB,405 MiB,158 MiB
2023-04-16 01:39:10,375 MiB,31.2 MiB,405 MiB,158 MiB
2023-04-16 01:39:20,381 MiB,31.2 MiB,405 MiB,152 MiB
2023-04-16 01:39:30,378 MiB,31.2 MiB,405 MiB,155 MiB
2023-04-16 01:39:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:39:50,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:40:00,370 MiB,31.2 MiB,405 MiB,163 MiB
