"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","TimeToFail"
"2023-04-16 00:47:10","1681580830000","0%","0%","0%","1.000%","0.400%","0.700%","8.40%","374 MiB","31.1 MiB","405 MiB","160 MiB","2.89 GB/s","0 kB/s","0 kB/s","1.76 GB/s","0 kB/s","2.90 GB/s","1.76 GB/s","0 kB/s","0 kB/s","2.90 GB/s","0 kB/s","1.76 GB/s","1233946"
"2023-04-16 00:47:20","1681580840000","0%","0%","0%","1.70%","0.900%","2.40%","5.80%","374 MiB","31.1 MiB","405 MiB","160 MiB","1.67 GB/s","0 kB/s","0 kB/s","1.07 GB/s","0 kB/s","1.68 GB/s","1.07 GB/s","0 kB/s","0 kB/s","1.68 GB/s","0 kB/s","1.07 GB/s","1223946"
"2023-04-16 00:47:30","1681580850000","0%","0%","0%","1.90%","1.70%","3.80%","7.60%","370 MiB","31.1 MiB","405 MiB","164 MiB","1.61 GB/s","0 kB/s","0 kB/s","1.07 GB/s","0 kB/s","1.61 GB/s","1.07 GB/s","0 kB/s","0 kB/s","1.62 GB/s","0 kB/s","1.07 GB/s","1213946"
"2023-04-16 00:47:40","1681580860000","0%","0%","0%","2.00%","1.30%","2.10%","7.70%","370 MiB","31.1 MiB","405 MiB","164 MiB","2.00 GB/s","0 kB/s","0 kB/s","1.24 GB/s","0 kB/s","2.00 GB/s","1.24 GB/s","0 kB/s","0 kB/s","2.00 GB/s","0 kB/s","1.24 GB/s","1203946"
"2023-04-16 00:47:50","1681580870000","0%","0%","0%","1.50%","1.00%","2.00%","6.40%","370 MiB","31.1 MiB","405 MiB","164 MiB","1.69 GB/s","0 kB/s","62.1 kB/s","1.14 GB/s","0 kB/s","1.70 GB/s","1.14 GB/s","0 kB/s","298 kB/s","1.70 GB/s","0 kB/s","1.14 GB/s","1193946"
"2023-04-16 00:48:00","1681580880000","0%","0%","0%","0.700%","0.800%","1.70%","5.70%","370 MiB","31.1 MiB","405 MiB","164 MiB","2.04 GB/s","0 kB/s","0 kB/s","1.20 GB/s","0 kB/s","2.05 GB/s","1.20 GB/s","0 kB/s","0 kB/s","2.05 GB/s","0 kB/s","1.20 GB/s","1183946"
"2023-04-16 00:48:10","1681580890000","0%","0%","0%","1.90%","1.000%","2.60%","6.20%","368 MiB","31.1 MiB","405 MiB","166 MiB","1.46 GB/s","0 kB/s","5.60 kB/s","948 MB/s","0 kB/s","1.46 GB/s","948 MB/s","0 kB/s","5.40 kB/s","1.47 GB/s","0 kB/s","948 MB/s","1173946"
"2023-04-16 00:48:20","1681580900000","0%","0%","0%","2.00%","0.700%","2.60%","7.60%","368 MiB","31.1 MiB","405 MiB","166 MiB","2.26 GB/s","0 kB/s","0 kB/s","1.42 GB/s","0 kB/s","2.26 GB/s","1.42 GB/s","0 kB/s","0 kB/s","2.26 GB/s","0 kB/s","1.42 GB/s","1163946"
"2023-04-16 00:48:30","1681580910000","0%","0%","0%","2.30%","1.10%","3.60%","7.30%","368 MiB","31.1 MiB","405 MiB","166 MiB","1.23 GB/s","0 kB/s","0 kB/s","916 MB/s","0 kB/s","1.24 GB/s","915 MB/s","0 kB/s","0 kB/s","1.24 GB/s","0 kB/s","915 MB/s","1153946"
"2023-04-16 00:48:40","1681580920000","0%","0%","0%","2.10%","0.900%","3.20%","8.50%","372 MiB","31.1 MiB","405 MiB","162 MiB","2.47 GB/s","0 kB/s","0 kB/s","1.47 GB/s","0 kB/s","2.47 GB/s","1.47 GB/s","0 kB/s","0 kB/s","2.47 GB/s","0 kB/s","1.47 GB/s","1143946"
"2023-04-16 00:48:50","1681580930000","0%","0%","0%","1.30%","0.500%","1.80%","6.20%","367 MiB","31.1 MiB","405 MiB","166 MiB","2.09 GB/s","0 kB/s","5.80 kB/s","1.31 GB/s","0 kB/s","2.10 GB/s","1.31 GB/s","0 kB/s","5.40 kB/s","2.10 GB/s","0 kB/s","1.31 GB/s","1133946"
"2023-04-16 00:49:00","1681580940000","0%","0%","0%","0.1000%","0.1000%","0.300%","0.200%","375 MiB","31.1 MiB","405 MiB","158 MiB","13.8 MB/s","0 kB/s","24 kB/s","11.4 MB/s","0 kB/s","14.1 MB/s","11.4 MB/s","0 kB/s","19.2 kB/s","15.1 MB/s","0 kB/s","11.4 MB/s","1123946"
"2023-04-16 00:49:10","1681580950000","0%","0%","0%","0.900%","0.500%","1.10%","1.60%","375 MiB","31.1 MiB","405 MiB","158 MiB","50.7 MB/s","0 kB/s","0 kB/s","46.3 MB/s","0 kB/s","52.4 MB/s","46.2 MB/s","0 kB/s","0 kB/s","53.3 MB/s","0 kB/s","46.2 MB/s","1113946"
"2023-04-16 00:49:20","1681580960000","0%","0%","0%","0.700%","0.400%","1.10%","1.40%","375 MiB","31.1 MiB","405 MiB","158 MiB","54.0 MB/s","0 kB/s","11.2 kB/s","48.6 MB/s","0 kB/s","55.7 MB/s","48.6 MB/s","0 kB/s","5.40 kB/s","56.7 MB/s","0 kB/s","48.6 MB/s","1103946"
"2023-04-16 00:49:30","1681580970000","0%","0%","0%","1.50%","0.400%","1.20%","4.30%","375 MiB","31.1 MiB","405 MiB","158 MiB","968 MB/s","0 kB/s","5.60 kB/s","623 MB/s","0 kB/s","971 MB/s","623 MB/s","0 kB/s","5.40 kB/s","972 MB/s","0 kB/s","623 MB/s","1093946"
"2023-04-16 00:49:40","1681580980000","0%","0%","0%","1.70%","0.800%","1.60%","1.70%","375 MiB","31.1 MiB","405 MiB","158 MiB","94.2 MB/s","0 kB/s","0 kB/s","73.4 MB/s","0 kB/s","97.2 MB/s","73.3 MB/s","0 kB/s","0 kB/s","98.1 MB/s","0 kB/s","73.3 MB/s","1083946"
"2023-04-16 00:49:50","1681580990000","0%","0%","0%","1.10%","0.300%","1.30%","3.90%","375 MiB","31.1 MiB","405 MiB","158 MiB","1.04 GB/s","0 kB/s","56.5 kB/s","659 MB/s","0 kB/s","1.05 GB/s","659 MB/s","0 kB/s","292 kB/s","1.05 GB/s","0 kB/s","659 MB/s","1073946"
"2023-04-16 00:50:00","1681581000000","0%","0%","0%","0.700%","0.1000%","0.800%","1.10%","375 MiB","31.1 MiB","405 MiB","158 MiB","36.0 MB/s","0 kB/s","17.4 kB/s","42.4 MB/s","0 kB/s","37.1 MB/s","42.4 MB/s","0 kB/s","16.2 kB/s","38.1 MB/s","0 kB/s","42.4 MB/s","1063946"
"2023-04-16 00:50:10","1681581010000","0%","0%","0%","1.20%","0.500%","1.20%","2.20%","376 MiB","31.1 MiB","405 MiB","158 MiB","559 MB/s","0 kB/s","0 kB/s","346 MB/s","0 kB/s","561 MB/s","346 MB/s","0 kB/s","0 kB/s","562 MB/s","0 kB/s","346 MB/s","1053946"
