"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-16 01:14:20,0%,0%,0%,4.80%,0.900%,3.70%,8.90%
2023-04-16 01:14:30,0%,0%,0%,4.60%,2.30%,3.20%,10.7%
2023-04-16 01:14:40,0%,0%,0%,3.60%,1.50%,3.60%,6.40%
2023-04-16 01:14:50,0%,0%,0%,4.10%,1.20%,3.50%,13.0%
2023-04-16 01:15:00,0%,0%,0%,4.60%,1.000%,4.00%,16.7%
2023-04-16 01:15:10,0%,0%,0%,3.60%,2.50%,3.60%,4.00%
2023-04-16 01:15:20,0%,0%,0%,2.30%,1.20%,2.70%,7.00%
2023-04-16 01:15:30,0%,0%,0%,4.80%,1.50%,5%,13.8%
2023-04-16 01:15:40,0%,0%,0%,3.80%,1.30%,5%,11.7%
2023-04-16 01:15:50,0%,0%,0%,4.00%,1.10%,4.60%,16.0%
2023-04-16 01:16:00,0%,0%,0%,4.00%,2.60%,5.20%,11.3%
2023-04-16 01:16:10,0%,0%,0%,3.50%,1.70%,4.30%,14.5%
2023-04-16 01:16:20,0%,0%,0%,4.90%,3.40%,5.90%,14.3%
2023-04-16 01:16:30,0%,0%,0%,6.30%,3.90%,6.90%,12.9%
2023-04-16 01:16:40,0%,0%,0%,3.70%,1.70%,4.50%,13.5%
2023-04-16 01:16:50,0%,0%,0%,1.70%,0.900%,2.40%,11.0%
2023-04-16 01:17:00,0%,0%,0%,1.30%,0.500%,1.60%,13.4%
2023-04-16 01:17:10,0%,0%,0%,5.50%,2.70%,5.30%,10.7%
2023-04-16 01:17:20,0%,0%,0%,3.40%,1.20%,5.90%,14.6%
2023-04-16 01:17:30,0%,0%,0%,0.400%,0.500%,0.700%,1.60%
2023-04-16 01:17:40,0.1000%,0%,0%,0.1000%,0.200%,0.100%,1.40%
2023-04-16 01:17:50,0%,0%,0%,1.000%,0.700%,1.70%,2.00%
2023-04-16 01:18:00,0%,0%,0%,0.100%,0%,0%,1.30%
2023-04-16 01:18:10,0%,0%,0%,0.200%,0.200%,0.600%,1.30%
2023-04-16 01:18:20,0%,0%,0%,0.500%,0.200%,0.500%,1.70%
2023-04-16 01:18:30,0%,0%,0%,1.10%,0.800%,2.00%,1.70%
2023-04-16 01:18:40,0%,0%,0%,0.500%,0.400%,1.40%,2.10%
2023-04-16 01:18:50,0%,0%,0%,0.900%,0.300%,1.30%,2.60%
2023-04-16 01:19:00,0%,0%,0%,1.10%,0.900%,1.20%,3.50%
2023-04-16 01:19:10,0%,0%,0%,1.70%,1.50%,2.50%,1.90%
2023-04-16 01:19:20,0%,0%,0%,0.700%,0.300%,0.900%,0.900%
2023-04-16 01:19:30,0%,0%,0%,1.60%,0.700%,1.70%,3.20%
2023-04-16 01:19:40,0%,0%,0%,0%,0.100%,0.200%,1.40%
2023-04-16 01:19:50,0%,0%,0%,0.900%,0.500%,2.20%,3.30%
2023-04-16 01:20:00,0%,0%,0%,0%,0.100%,0.200%,0.300%
2023-04-16 01:20:10,0%,0%,0%,0.900%,1.10%,1.00%,2.50%
2023-04-16 01:20:20,0.1000%,0%,0%,0.400%,0.300%,1.00%,2.20%
2023-04-16 01:20:30,0%,0%,0%,1.10%,0.600%,1.70%,2.20%
2023-04-16 01:20:40,0%,0%,0%,1.20%,0.700%,2.20%,2.70%
2023-04-16 01:20:50,0%,0%,0%,1.20%,0.400%,1.90%,4.50%
2023-04-16 01:21:00,0%,0%,0%,0.900%,0.500%,1.30%,2.90%
2023-04-16 01:21:10,0%,0%,0%,0.600%,0.200%,1.000%,3.20%
2023-04-16 01:21:20,0%,0%,0%,0.900%,0.400%,1.20%,2.10%
2023-04-16 01:21:30,0%,0%,0%,2.60%,1.60%,3.70%,4.60%
2023-04-16 01:21:40,0%,0%,0%,0.900%,0.300%,1.30%,3.80%
2023-04-16 01:21:50,0%,0%,0%,0.900%,0.400%,0.900%,2.90%
2023-04-16 01:22:00,0%,0%,0%,0.600%,0.200%,0.600%,2.40%
2023-04-16 01:22:10,0%,0%,0%,1.90%,1.10%,3.50%,2.80%
2023-04-16 01:22:20,0%,0%,0%,1.000%,0.900%,2.30%,4.30%
2023-04-16 01:22:30,0%,0%,0%,1.70%,0.700%,2.40%,5.60%
2023-04-16 01:22:40,0%,0%,0%,0.800%,0.900%,1.90%,3.20%
2023-04-16 01:22:50,0%,0%,0%,0.900%,0.300%,1.50%,3.70%
2023-04-16 01:23:00,0%,0%,0%,2.70%,1.70%,3.40%,6.60%
2023-04-16 01:23:10,0%,0%,0%,2.30%,1.00%,3.50%,3.90%
2023-04-16 01:23:20,0%,0%,0%,3.10%,1.10%,5.20%,6.60%
2023-04-16 01:23:30,0%,0%,0%,1.60%,1.00%,3.00%,7.40%
2023-04-16 01:23:40,0%,0%,0%,1.10%,0.700%,1.80%,6.50%
2023-04-16 01:23:50,0%,0%,0%,1.90%,1.40%,3.10%,6.90%
2023-04-16 01:24:00,0%,0%,0%,1.40%,0.600%,2.10%,5.40%
2023-04-16 01:24:10,0%,0%,0%,0.300%,0.100%,0.500%,7.00%
2023-04-16 01:24:20,0%,0%,0%,1.10%,0.500%,1.40%,4.10%
2023-04-16 01:24:30,0%,0%,0%,0%,0.1000%,0.200%,1.70%
2023-04-16 01:24:40,0%,0%,0%,1.30%,0.600%,1.60%,4.70%
2023-04-16 01:24:50,0%,0%,0%,2.20%,0.800%,4.00%,6.70%
2023-04-16 01:25:00,0%,0%,0%,1.70%,1.20%,2.30%,4.60%
2023-04-16 01:25:10,0%,0%,0%,0.800%,0.700%,1.10%,8.80%
2023-04-16 01:25:20,0%,0%,0%,1.000%,0.700%,1.70%,4.90%
2023-04-16 01:25:30,0%,0%,0%,3.30%,1.60%,4.10%,7.40%
2023-04-16 01:25:40,0%,0%,0%,1.10%,0.600%,1.90%,4.70%
2023-04-16 01:25:50,0%,0%,0%,0.600%,0.200%,1.30%,6.40%
2023-04-16 01:26:00,0%,0%,0%,2.00%,1.00%,2.60%,6.50%
2023-04-16 01:26:10,0%,0%,0%,0.600%,0.400%,0.900%,7.10%
2023-04-16 01:26:20,0%,0%,0%,1.70%,0.500%,2.50%,4.60%
2023-04-16 01:26:30,0%,0%,0%,0.800%,0.500%,1.30%,5.70%
2023-04-16 01:26:40,0%,0%,0%,2.40%,1.40%,2.50%,6.80%
2023-04-16 01:26:50,0%,0%,0%,6.60%,2.70%,6.90%,22.5%
2023-04-16 01:27:00,0%,0%,0%,6.00%,1.10%,5.90%,24.3%
2023-04-16 01:27:10,0%,0%,0%,5.20%,1.80%,4.40%,12.6%
2023-04-16 01:27:20,0%,0%,0%,4.80%,1.20%,4.80%,19.7%
2023-04-16 01:27:30,0%,0%,0%,4.70%,1.90%,5.40%,17.2%
2023-04-16 01:27:40,0%,0%,0%,4.30%,1.40%,4.40%,9.50%
2023-04-16 01:27:50,0%,0%,0%,4.90%,1.000%,4.70%,20.2%
2023-04-16 01:28:00,0%,0%,0%,5.50%,2.30%,5%,17.7%
2023-04-16 01:28:10,0%,0%,0%,5.20%,1.60%,5.50%,14.3%
2023-04-16 01:28:20,0%,0%,0%,0.200%,0.200%,0.400%,3.80%
2023-04-16 01:28:30,0%,0%,0%,0%,0%,0.100%,2.80%
2023-04-16 01:28:40,0%,0%,0%,0.200%,0.100%,0.300%,3.50%
2023-04-16 01:28:50,0%,0%,0%,0.400%,0%,0.200%,2.20%
2023-04-16 01:29:00,0%,0%,0%,0.100%,0.100%,0.300%,1.30%
2023-04-16 01:29:10,0%,0%,0%,0.500%,0.300%,0.700%,0.800%
2023-04-16 01:29:20,0%,0%,0%,0%,0%,0.200%,1.30%
2023-04-16 01:29:30,0%,0%,0%,0.200%,0.200%,0.300%,2.70%
2023-04-16 01:29:40,0%,0%,0%,0.600%,0.200%,0.700%,3.20%
2023-04-16 01:29:50,0%,0%,0%,0.700%,0.300%,0.600%,2.10%
2023-04-16 01:30:00,0%,0%,0%,0.100%,0%,0.100%,1.60%
2023-04-16 01:30:10,0%,0%,0%,0.800%,0.400%,1.00%,3.20%
2023-04-16 01:30:20,0%,0%,0%,0.100%,0.200%,0.1000%,2.50%
2023-04-16 01:30:30,0%,0%,0%,0.700%,0.500%,0.900%,2.20%
2023-04-16 01:30:40,0.100%,0%,0%,0.700%,0.200%,0.800%,2.20%
2023-04-16 01:30:50,0%,0%,0%,0.400%,0.100%,0.600%,1.50%
2023-04-16 01:31:00,0%,0%,0%,0.700%,0.300%,0.900%,2.10%
2023-04-16 01:31:10,0%,0%,0%,1.30%,0.800%,1.40%,3.20%
2023-04-16 01:31:20,0%,0%,0%,0.400%,0.400%,0.600%,1.80%
2023-04-16 01:31:30,0%,0%,0%,0.200%,0.1000%,0.300%,0.200%
2023-04-16 01:31:40,0%,0%,0%,0.100%,0.100%,0.100%,2.40%
2023-04-16 01:31:50,0%,0%,0%,0.700%,0.200%,1.60%,3.30%
2023-04-16 01:32:00,0%,0%,0%,0.500%,0.300%,0.800%,2.10%
2023-04-16 01:32:10,0%,0%,0%,2.80%,1.60%,5.30%,6.60%
2023-04-16 01:32:20,0%,0%,0%,3.90%,1.10%,4.90%,14.5%
2023-04-16 01:32:30,0%,0%,0%,4.50%,1.90%,6.70%,16.2%
2023-04-16 01:32:40,0%,0%,0%,4.30%,2.00%,6.30%,18.0%
2023-04-16 01:32:50,0%,0%,0%,3.70%,1.10%,4.60%,24.4%
2023-04-16 01:33:00,0%,0%,0%,5.90%,2.40%,6.70%,16.2%
2023-04-16 01:33:10,0%,0%,0%,6.50%,1.70%,6.30%,16.8%
2023-04-16 01:33:20,0%,0%,0%,5.60%,2.00%,5.50%,12.9%
2023-04-16 01:33:30,0%,0%,0%,6.00%,1.20%,6.50%,19.2%
2023-04-16 01:33:40,0%,0%,0%,3.90%,1.20%,4.80%,10.1%
2023-04-16 01:33:50,0%,0%,0%,3.70%,1.50%,6.30%,15.3%
2023-04-16 01:34:00,0%,0%,0%,3.80%,1.10%,4.30%,12.2%
2023-04-16 01:34:10,0%,0%,0%,5.80%,3.20%,6.30%,17.0%
2023-04-16 01:34:20,0%,0%,0%,5.20%,2.00%,7.00%,17.6%
2023-04-16 01:34:30,0%,0%,0%,4.70%,1.70%,6.30%,13.9%
2023-04-16 01:34:40,0%,0%,0%,4.80%,1.20%,4.70%,12.2%
2023-04-16 01:34:50,0%,0%,0%,3.00%,0.800%,4.20%,10.4%
2023-04-16 01:35:00,0%,0%,0%,4.40%,1.10%,4.80%,7.60%
2023-04-16 01:35:10,0%,0%,0%,2.90%,1.60%,5.30%,11.5%
2023-04-16 01:35:20,0%,0%,0%,2.70%,1.10%,4.20%,11.8%
2023-04-16 01:35:30,0%,0%,0%,5.50%,1.90%,5.40%,13.5%
2023-04-16 01:35:40,0%,0%,0%,4.50%,2.50%,6.30%,15.4%
2023-04-16 01:35:50,0%,0%,0%,4.90%,1.40%,5%,12.7%
2023-04-16 01:36:00,0%,0%,0%,3.20%,0.800%,3.70%,14.9%
