"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
"2023-04-16 13:53:00","1681627980000","0%","0%","0%","2.00%","0.800%","2.70%","7.40%","377 MiB","34.2 MiB","416 MiB","142 MiB","2.00 GB/s","0 kB/s","6 kB/s","1.59 GB/s","0 kB/s","2.01 GB/s","1.59 GB/s","0 kB/s","4.20 kB/s","2.01 GB/s","0 kB/s","1.59 GB/s"
"2023-04-16 13:53:05","1681627985000","0%","0%","0%","2.00%","0.800%","2.70%","7.40%","377 MiB","34.2 MiB","416 MiB","142 MiB","2.00 GB/s","0 kB/s","6 kB/s","1.59 GB/s","0 kB/s","2.01 GB/s","1.59 GB/s","0 kB/s","4.20 kB/s","2.01 GB/s","0 kB/s","1.59 GB/s"
"2023-04-16 13:53:10","1681627990000","0%","0%","0%","1.80%","1.40%","2.20%","6.00%","378 MiB","34.2 MiB","416 MiB","141 MiB","1.54 GB/s","0 kB/s","0 kB/s","674 MB/s","0 kB/s","1.54 GB/s","674 MB/s","0 kB/s","0 kB/s","1.54 GB/s","0 kB/s","674 MB/s"
"2023-04-16 13:53:15","1681627995000","0%","0%","0%","1.80%","1.40%","2.20%","6.00%","378 MiB","34.2 MiB","416 MiB","141 MiB","1.54 GB/s","0 kB/s","0 kB/s","674 MB/s","0 kB/s","1.54 GB/s","674 MB/s","0 kB/s","0 kB/s","1.54 GB/s","0 kB/s","674 MB/s"
"2023-04-16 13:53:20","1681628000000","0%","0%","0%","3.10%","1.60%","4.90%","9.50%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.24 GB/s","0 kB/s","39.6 kB/s","1.45 GB/s","0 kB/s","2.25 GB/s","1.45 GB/s","0 kB/s","34.2 kB/s","2.25 GB/s","0 kB/s","1.45 GB/s"
"2023-04-16 13:53:25","1681628005000","0%","0%","0%","3.10%","1.60%","4.90%","9.50%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.24 GB/s","0 kB/s","39.6 kB/s","1.45 GB/s","0 kB/s","2.25 GB/s","1.45 GB/s","0 kB/s","34.2 kB/s","2.25 GB/s","0 kB/s","1.45 GB/s"
"2023-04-16 13:53:30","1681628010000","0%","0%","0%","2.10%","1.50%","2.90%","6.10%","383 MiB","34.2 MiB","416 MiB","137 MiB","1.25 GB/s","0 kB/s","5.80 kB/s","833 MB/s","0 kB/s","1.25 GB/s","833 MB/s","0 kB/s","5.40 kB/s","1.26 GB/s","0 kB/s","833 MB/s"
"2023-04-16 13:53:35","1681628015000","0%","0%","0%","2.10%","1.50%","2.90%","6.10%","383 MiB","34.2 MiB","416 MiB","137 MiB","1.25 GB/s","0 kB/s","5.80 kB/s","833 MB/s","0 kB/s","1.25 GB/s","833 MB/s","0 kB/s","5.40 kB/s","1.26 GB/s","0 kB/s","833 MB/s"
"2023-04-16 13:53:40","1681628020000","0%","0%","0%","2.40%","1.60%","3.30%","5%","380 MiB","34.2 MiB","416 MiB","140 MiB","681 MB/s","0 kB/s","5.80 kB/s","464 MB/s","0 kB/s","688 MB/s","464 MB/s","0 kB/s","5.40 kB/s","689 MB/s","0 kB/s","464 MB/s"
"2023-04-16 13:53:45","1681628025000","0%","0%","0%","2.40%","1.60%","3.30%","5%","380 MiB","34.2 MiB","416 MiB","140 MiB","681 MB/s","0 kB/s","5.80 kB/s","464 MB/s","0 kB/s","688 MB/s","464 MB/s","0 kB/s","5.40 kB/s","689 MB/s","0 kB/s","464 MB/s"
"2023-04-16 13:53:50","1681628030000","0%","0%","0%","1.40%","0.500%","1.70%","8.00%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.46 GB/s","0 kB/s","11.2 kB/s","1.55 GB/s","0 kB/s","2.46 GB/s","1.55 GB/s","0 kB/s","5.40 kB/s","2.46 GB/s","0 kB/s","1.55 GB/s"
"2023-04-16 13:53:55","1681628035000","0%","0%","0%","1.40%","0.500%","1.70%","8.00%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.46 GB/s","0 kB/s","11.2 kB/s","1.55 GB/s","0 kB/s","2.46 GB/s","1.55 GB/s","0 kB/s","5.40 kB/s","2.46 GB/s","0 kB/s","1.55 GB/s"
"2023-04-16 13:54:00","1681628040000","0%","0%","0%","1.50%","0.800%","2.30%","8.40%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.26 GB/s","0 kB/s","68.1 kB/s","1.42 GB/s","0 kB/s","2.27 GB/s","1.42 GB/s","0 kB/s","297 kB/s","2.27 GB/s","0 kB/s","1.42 GB/s"
"2023-04-16 13:54:05","1681628045000","0%","0%","0%","1.50%","0.800%","2.30%","8.40%","383 MiB","34.2 MiB","416 MiB","137 MiB","2.26 GB/s","0 kB/s","68.1 kB/s","1.42 GB/s","0 kB/s","2.27 GB/s","1.42 GB/s","0 kB/s","297 kB/s","2.27 GB/s","0 kB/s","1.42 GB/s"
"2023-04-16 13:54:10","1681628050000","0%","0%","0%","3.80%","2.40%","5.50%","8.00%","383 MiB","34.2 MiB","416 MiB","137 MiB","1.33 GB/s","0 kB/s","5.60 kB/s","899 MB/s","0 kB/s","1.34 GB/s","899 MB/s","0 kB/s","5.40 kB/s","1.34 GB/s","0 kB/s","899 MB/s"
"2023-04-16 13:54:15","1681628055000","0%","0%","0%","3.80%","2.40%","5.50%","8.00%","383 MiB","34.2 MiB","416 MiB","137 MiB","1.33 GB/s","0 kB/s","5.60 kB/s","899 MB/s","0 kB/s","1.34 GB/s","899 MB/s","0 kB/s","5.40 kB/s","1.34 GB/s","0 kB/s","899 MB/s"
"2023-04-16 13:54:20","1681628060000","0%","0%","0%","1.60%","1.00%","2.70%","9.30%","381 MiB","34.2 MiB","416 MiB","139 MiB","3.00 GB/s","0 kB/s","33.6 kB/s","1.89 GB/s","0 kB/s","3.01 GB/s","1.89 GB/s","0 kB/s","30 kB/s","3.01 GB/s","0 kB/s","1.89 GB/s"
"2023-04-16 13:54:25","1681628065000","0%","0%","0%","1.60%","1.00%","2.70%","9.30%","381 MiB","34.2 MiB","416 MiB","139 MiB","3.00 GB/s","0 kB/s","33.6 kB/s","1.89 GB/s","0 kB/s","3.01 GB/s","1.89 GB/s","0 kB/s","30 kB/s","3.01 GB/s","0 kB/s","1.89 GB/s"
"2023-04-16 13:54:30","1681628070000","0%","0%","0%","2.40%","1.10%","2.80%","10.2%","381 MiB","34.2 MiB","416 MiB","139 MiB","3.24 GB/s","0 kB/s","11.2 kB/s","2.03 GB/s","0 kB/s","3.25 GB/s","2.03 GB/s","0 kB/s","5.40 kB/s","3.25 GB/s","0 kB/s","2.03 GB/s"
"2023-04-16 13:54:35","1681628075000","0%","0%","0%","2.40%","1.10%","2.80%","10.2%","381 MiB","34.2 MiB","416 MiB","139 MiB","3.24 GB/s","0 kB/s","11.2 kB/s","2.03 GB/s","0 kB/s","3.25 GB/s","2.03 GB/s","0 kB/s","5.40 kB/s","3.25 GB/s","0 kB/s","2.03 GB/s"
"2023-04-16 13:54:40","1681628080000","0%","0%","0%","3.50%","1.50%","3.80%","8.50%","381 MiB","34.2 MiB","416 MiB","139 MiB","1.69 GB/s","0 kB/s","0 kB/s","1.12 GB/s","0 kB/s","1.70 GB/s","1.12 GB/s","0 kB/s","0 kB/s","1.70 GB/s","0 kB/s","1.12 GB/s"
"2023-04-16 13:54:45","1681628085000","0%","0%","0%","3.50%","1.50%","3.80%","8.50%","381 MiB","34.2 MiB","416 MiB","139 MiB","1.69 GB/s","0 kB/s","0 kB/s","1.12 GB/s","0 kB/s","1.70 GB/s","1.12 GB/s","0 kB/s","0 kB/s","1.70 GB/s","0 kB/s","1.12 GB/s"
