sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-03-24 12:26:30,1.90 GB/s,0 kB/s,33.0 MB/s,1.16 GB/s,43.6 kB/s,1.91 GB/s
2023-03-24 12:26:45,2.35 GB/s,0 kB/s,33.8 MB/s,1.84 GB/s,23 kB/s,2.36 GB/s
2023-03-24 12:27:00,2.27 GB/s,0 kB/s,28.7 MB/s,1.86 GB/s,0 kB/s,2.28 GB/s
2023-03-24 12:27:15,2.61 GB/s,0 kB/s,33.6 MB/s,1.66 GB/s,0 kB/s,2.62 GB/s
2023-03-24 12:27:30,2.47 GB/s,0 kB/s,28.4 MB/s,1.50 GB/s,0 kB/s,2.48 GB/s
2023-03-24 12:27:45,2.01 GB/s,0 kB/s,38.3 MB/s,1.69 GB/s,0 kB/s,2.02 GB/s
2023-03-24 12:28:00,2.17 GB/s,0 kB/s,22.1 MB/s,1.53 GB/s,0 kB/s,2.18 GB/s
2023-03-24 12:28:15,2.19 GB/s,0 kB/s,27.3 MB/s,1.78 GB/s,0 kB/s,2.19 GB/s
2023-03-24 12:28:30,2.24 GB/s,0 kB/s,25.9 MB/s,1.85 GB/s,0 kB/s,2.24 GB/s
2023-03-24 12:28:45,2.49 GB/s,0 kB/s,25.0 MB/s,1.57 GB/s,0 kB/s,2.50 GB/s
2023-03-24 12:29:00,2.47 GB/s,0 kB/s,23.8 MB/s,1.58 GB/s,0 kB/s,2.48 GB/s
2023-03-24 12:29:15,1.97 GB/s,0 kB/s,22.8 MB/s,1.65 GB/s,0 kB/s,1.97 GB/s
2023-03-24 12:29:30,2.16 GB/s,0 kB/s,20.2 MB/s,1.59 GB/s,0 kB/s,2.17 GB/s
2023-03-24 12:29:45,2.56 GB/s,0 kB/s,26.7 MB/s,1.87 GB/s,0 kB/s,2.57 GB/s
2023-03-24 12:30:00,2.01 GB/s,0 kB/s,19.9 MB/s,1.58 GB/s,0 kB/s,2.01 GB/s
2023-03-24 12:30:15,2.09 GB/s,0 kB/s,28.5 MB/s,1.41 GB/s,0 kB/s,2.09 GB/s
2023-03-24 12:30:30,2.05 GB/s,0 kB/s,29.7 MB/s,1.40 GB/s,0 kB/s,2.06 GB/s
2023-03-24 12:30:45,2.45 GB/s,0 kB/s,41.0 MB/s,1.82 GB/s,0 kB/s,2.45 GB/s
2023-03-24 12:31:00,1.93 GB/s,0 kB/s,26.0 MB/s,1.58 GB/s,0 kB/s,1.94 GB/s
2023-03-24 12:31:15,2.31 GB/s,0 kB/s,37.3 MB/s,1.51 GB/s,0 kB/s,2.32 GB/s
2023-03-24 12:31:30,2.40 GB/s,0 kB/s,22.9 MB/s,1.40 GB/s,0 kB/s,2.41 GB/s
2023-03-24 12:31:45,1.93 GB/s,0 kB/s,25.4 MB/s,1.37 GB/s,0 kB/s,1.94 GB/s
