sep=,
"Time","iowait","irq","nice","softirq","steal","system","user"
2023-03-24 12:39:45,0%,0%,0%,2.20%,1.00%,1.000%,6.80%
2023-03-24 12:40:00,0%,0%,0%,1.50%,2.30%,0.800%,6.40%
2023-03-24 12:40:15,0%,0%,0%,2.10%,2.30%,0.900%,6.70%
2023-03-24 12:40:30,0%,0%,0%,1.40%,1.90%,1.40%,6.60%
2023-03-24 12:40:45,0%,0%,0%,1.70%,1.60%,0.700%,6.30%
2023-03-24 12:41:00,0%,0%,0%,2.60%,2.20%,1.20%,6.80%
2023-03-24 12:41:15,0%,0%,0%,1.50%,1.80%,0.900%,6.80%
2023-03-24 12:41:30,0%,0%,0%,2.30%,1.90%,0.700%,5.10%
2023-03-24 12:41:45,0%,0%,0%,1.40%,1.80%,0.800%,5.80%
2023-03-24 12:42:00,0%,0%,0%,2.10%,1.00%,1.000%,5.60%
2023-03-24 12:42:15,0%,0%,0%,2.00%,1.50%,0.900%,5.70%
2023-03-24 12:42:30,0%,0%,0%,1.90%,1.70%,0.700%,6.40%
2023-03-24 12:42:45,0%,0%,0%,1.90%,2.00%,0.900%,6.90%
2023-03-24 12:43:00,0%,0%,0%,1.60%,1.30%,0.800%,6.50%
2023-03-24 12:43:15,0%,0%,0%,1.80%,1.90%,1.20%,7.20%
2023-03-24 12:43:30,0%,0%,0%,1.70%,1.70%,1.00%,6.40%
2023-03-24 12:43:45,0%,0%,0%,1.60%,1.40%,0.900%,7.20%
2023-03-24 12:44:00,0%,0%,0%,2.70%,1.50%,1.10%,6.50%
2023-03-24 12:44:15,0%,0%,0%,2.10%,1.30%,1.10%,6.30%
2023-03-24 12:44:30,0%,0%,0%,1.80%,1.90%,1.40%,5.60%
2023-03-24 12:44:45,0%,0%,0%,1.30%,1.30%,0.900%,6.60%
2023-03-24 12:45:00,0%,0%,0%,1.60%,1.00%,0.700%,5.40%
2023-03-24 12:45:15,0%,0%,0%,1.50%,2.00%,0.800%,6.30%
2023-03-24 12:45:30,0%,0%,0%,1.60%,1.70%,0.800%,6.40%
2023-03-24 12:45:45,0%,0%,0%,1.60%,1.60%,1.00%,5.40%
2023-03-24 12:46:00,0%,0%,0%,1.70%,2.40%,1.10%,6.70%
2023-03-24 12:46:15,0%,0%,0%,1.80%,2.30%,0.800%,6.80%
2023-03-24 12:46:30,0%,0%,0%,1.90%,1.70%,1.20%,6.20%
2023-03-24 12:46:45,0%,0%,0%,1.60%,2.10%,0.600%,6.10%
2023-03-24 12:47:00,0%,0%,0%,3.20%,1.90%,1.20%,8.20%
2023-03-24 12:47:15,0%,0%,0%,2.90%,2.60%,1.30%,7.10%
2023-03-24 12:47:30,0%,0%,0%,2.30%,3.60%,1.20%,9.50%
2023-03-24 12:47:45,0%,0%,0%,2.80%,3.30%,1.10%,8.20%
2023-03-24 12:48:00,0%,0%,0%,5%,4.10%,1.40%,8.20%
2023-03-24 12:48:15,0%,0%,0%,3.60%,3.40%,1.000%,8.30%
2023-03-24 12:48:30,0%,0%,0%,2.50%,2.60%,1.20%,8.10%
2023-03-24 12:48:45,0%,0%,0%,2.20%,1.80%,1.20%,8.00%
2023-03-24 12:49:00,0%,0%,0%,3.60%,3.10%,1.70%,8.80%
2023-03-24 12:49:15,0%,0%,0%,3.30%,2.80%,1.10%,8.30%
2023-03-24 12:49:30,0%,0%,0%,1.70%,1.80%,1.30%,9.00%
2023-03-24 12:49:45,0%,0%,0%,2.10%,1.40%,1.10%,8.00%
2023-03-24 12:50:00,0%,0%,0%,2.40%,1.90%,1.00%,7.90%
2023-03-24 12:50:15,0%,0%,0%,2.50%,4.10%,1.30%,8.70%
2023-03-24 12:50:30,0%,0%,0%,2.50%,3.30%,0.900%,8.40%
2023-03-24 12:50:45,0%,0%,0%,2.50%,2.30%,1.00%,7.90%
2023-03-24 12:51:00,0%,0%,0%,3.00%,2.30%,1.10%,8.30%
2023-03-24 12:51:15,0%,0%,0%,2.90%,2.50%,1.50%,8.30%
2023-03-24 12:51:30,0%,0%,0%,3.10%,2.10%,1.00%,7.70%
2023-03-24 12:51:45,0%,0%,0%,2.20%,2.50%,1.10%,8.20%
2023-03-24 12:52:00,0%,0%,0%,3.60%,1.90%,1.40%,6.70%
2023-03-24 12:52:15,0%,0%,0%,2.70%,2.40%,1.40%,8.40%
2023-03-24 12:52:30,0%,0%,0%,2.80%,1.60%,1.30%,7.70%
2023-03-24 12:52:45,0%,0%,0%,2.40%,1.40%,1.20%,8.80%
2023-03-24 12:53:00,0%,0%,0%,2.80%,1.50%,1.50%,7.90%
2023-03-24 12:53:15,0%,0%,0%,2.00%,2.40%,0.900%,7.90%
2023-03-24 12:53:30,0%,0%,0%,3.20%,3.70%,0.900%,7.90%
2023-03-24 12:53:45,0%,0%,0%,2.60%,2.10%,1.00%,7.50%
2023-03-24 12:54:00,0%,0%,0%,1.70%,1.50%,0.800%,8.70%
2023-03-24 12:54:15,0%,0%,0%,2.40%,2.60%,0.700%,8.50%
2023-03-24 12:54:30,0%,0%,0%,2.60%,1.70%,0.700%,9.80%
2023-03-24 12:54:45,0%,0%,0%,2.60%,3.00%,1.20%,8.20%
2023-03-24 12:55:00,0%,0%,0%,2.50%,2.10%,1.10%,8.70%
2023-03-24 12:55:15,0%,0%,0%,3.80%,4.60%,1.10%,7.70%
2023-03-24 12:55:30,0%,0%,0%,4.20%,2.70%,1.80%,10.6%
2023-03-24 12:55:45,0%,0%,0%,9.60%,4.80%,4.30%,21.8%
2023-03-24 12:56:00,0%,0%,0%,2.20%,4.30%,1.60%,6.30%
2023-03-24 12:56:15,1.30%,0%,1.20%,2.00%,3.90%,2.50%,6.00%
2023-03-24 12:56:30,0%,0%,0%,1.90%,2.70%,2.00%,6.60%
2023-03-24 12:56:45,0.100%,0%,0%,4.00%,4.00%,2.90%,12.9%
2023-03-24 12:57:00,0%,0%,0%,4.70%,3.50%,3.40%,12.9%
2023-03-24 12:57:15,0%,0%,0%,5.70%,4.60%,4.10%,15.1%
2023-03-24 12:57:30,0%,0%,0%,2.80%,3.30%,1.60%,4.90%
2023-03-24 12:57:45,0%,0%,0%,4.90%,4.80%,2.40%,13.0%
2023-03-24 12:58:00,0%,0%,0%,2.40%,2.80%,1.20%,8.90%
2023-03-24 12:58:15,0%,0%,0%,4.60%,3.20%,1.70%,12.3%
2023-03-24 12:58:30,0%,0%,0%,4.00%,2.00%,1.40%,11.3%
2023-03-24 12:58:45,0%,0%,0%,4.40%,1.70%,1.50%,12.8%
2023-03-24 12:59:00,0%,0%,0%,3.60%,1.50%,1.40%,10.5%
2023-03-24 12:59:15,0%,0%,0%,4.60%,3.10%,1.50%,12.2%
2023-03-24 12:59:30,0%,0%,0%,3.90%,3.30%,1.50%,12.4%
2023-03-24 12:59:45,0%,0%,0%,4.30%,2.80%,1.80%,11.7%
2023-03-24 13:00:00,0%,0%,0%,4.80%,1.60%,2.00%,11.3%
2023-03-24 13:00:15,0%,0%,0%,4.80%,5.10%,1.80%,10.8%
2023-03-24 13:00:30,0%,0%,0%,4.50%,3.00%,2.00%,11.5%
2023-03-24 13:00:45,0%,0%,0%,3.10%,2.40%,1.50%,11.1%
2023-03-24 13:01:00,0%,0%,0%,4.60%,4.30%,1.50%,12.0%
